formula,image
"a _ { 0 } [ [ a _ { 0 } , a _ { n } ] , a _ { 0 } ] = a _ { 0 } [ [ a _ { 0 } , a _ { n } ] _ { 1 } , a _ { 0 } ] \hbar + a _ { 0 } [ [ a _ { 0 } , a _ { n } ] _ { 2 } , a _ { 0 } ] \hbar ^ { 2 } .",aacbc9b7e5.png
"g _ { i j } = \bar { g } _ { i j } + h _ { i j } ,",7aed42a53c.png
"U ( \vec { x } ; A , B ) = A U _ { \mathrm { S } } ( D ( B ) ^ { - 1 } \cdot \vec { x } ) A ^ { \dagger }",2ffc852060.png
{ \frac { \partial \bar { g } _ { \mu \nu } } { \partial l _ { i } } } \in \mathrm { K e r } ( \bar { F } ^ { \dagger } ),4efc22f0f5.png
"{ \cal D } ( g ) = \left( \begin{array} { c c c } { z _ { 1 } ^ { \prime } } & { - \bar { z } _ { 2 } ^ { \prime } } & { - \chi } \\ { z _ { 2 } ^ { \prime } } & { \bar { z } _ { 1 } ^ { \prime } } & { - \bar { \chi } } \\ { \theta ^ { \prime } } & { - \bar { \theta } ^ { \prime } } & { \lambda } \\ \end{array} \right) \, , \quad \quad \sum _ { i } | z _ { i } ^ { \prime } | ^ { 2 } + \bar { \theta } ^ { \prime } \theta ^ { \prime } = 1",12603c7701.png
"L _ { a } = \frac { 1 } { 1 6 \pi } \mathrm { I m } \int d ^ { 2 } \theta \, W ^ { 2 } \tau ( z ^ { - 1 / 4 } )",105de61fa3.png
"+ \, \, \mathrm { e } ^ { \varphi } \, { F } _ { [ 3 ] } ^ { R R } \wedge \star { F } _ { [ 3 ] } ^ { R R } \, + \, \frac { 1 } { 2 } \, { F } _ { [ 5 ] } ^ { R R } \wedge \star { F } _ { [ 5 ] } ^ { R R } \, - \, C _ { [ 4 ] } \wedge F _ { [ 3 ] } ^ { N S } \wedge F _ { [ 3 ] } ^ { R R } \Big ] \Bigg \}",47696e11d7.png
"S [ \phi ^ { \dagger } , \phi ] \; = \; \int d ^ { 3 } x \, { \cal L } ( \phi ^ { \dagger } , \phi ; \partial \phi ^ { \dagger } , \partial \phi ) \; \; ,",53ded8fccd.png
"G ^ { K } \, = \, G ^ { 0 } + G ^ { 0 } K ^ { R } G ^ { 0 } + G ^ { 0 } K ^ { R } G ^ { 0 } K ^ { R } G ^ { 0 } + \cdots \equiv \, G ^ { 0 } + G ^ { K R } .",6b5b65e371.png
\partial _ { \mu } = \frac { \partial } { \partial \xi ^ { \mu } },73778ad253.png
"( \partial _ { \gamma } , \partial _ { \gamma } ) _ { ( 1 0 ) } = \sqrt { \tilde { \Delta } } e ^ { 2 U }",1c6c15eec1.png
"3 . 8 G = \eta _ { a b } d z ^ { a } \otimes d z ^ { b } = - d z ^ { 0 } \otimes d z ^ { 0 } + \sum _ { i = 1 } ^ { n - 1 } d z ^ { i } \otimes d z ^ { i } ,",48eb8b68bd.png
"\int _ { - \infty } ^ { \infty } P _ { r } ^ { \bf V } ( x ) P _ { s } ^ { \bf V } ( x ) \, e ^ { - x ^ { 2 } } \, d x \, \propto \delta _ { r \, s } .",6c4b620ad6.png
\Phi ^ { i } = \frac { 1 } { 2 } \pi ^ { i } - \int d u \; \; \epsilon ( x - u ) \; \theta ^ { i } ( u ),55d0a0fc56.png
"{ \cal H } _ { i n t } ( x ) = - e \overline { { \psi } } ^ { ( 0 ) } ( x ) \beta ^ { \mu } A _ { \mu } ^ { ( 0 ) } ( x ) [ I + \frac { e } { m } ( I - \beta _ { 0 } ^ { 2 } ) \beta ^ { \nu } A _ { \nu } ^ { ( 0 ) } ( x ) ] \psi ^ { ( 0 ) } ( x ) \, \, ,",4d1592b40a.png
"Q = ( b + 1 / b ) \rho , \qquad \rho = \frac 1 2 \sum _ { \alpha > 0 } \alpha ,",2724dd250b.png
"{ h _ { 0 } ^ { 0 } } ( x ^ { \mu } ) = \sum { b _ { 0 } ^ { 0 } } ( t , z ) Y ( x ^ { i } ) , \quad { h _ { z } ^ { 0 } } ( x ^ { \mu } ) = \sum { b _ { z } ^ { 0 } } ( t , z ) Y ( x ^ { i } ) ,",38dbc7d096.png
"P ^ { 2 } = \bigg ( \frac { 4 } { \pi h ^ { 2 } N } \bigg ) ^ { 2 } \bigg [ 1 + O \bigg ( \frac { 1 } { P ^ { 2 } } \bigg ) \bigg ] , \; \; \pi h ^ { 2 } N < < 1 .",15c5d88a1a.png
V _ { \mathrm { e f f } } = \operatorname* { l i m } _ { \lambda \rightarrow 0 } \left( V ^ { g e n } + V ^ { P T } \right) .,4d31b13054.png
"2 \mu { \frac { \sqrt { J _ { 1 } J _ { 2 } J _ { 3 } } } { N } } \big ( \bar { O } ^ { \prime J _ { 3 } } \Pi ^ { \prime J _ { 1 } } \bar { \Pi } ^ { \prime J _ { 2 } } \delta _ { J _ { 3 } + J _ { 1 } , J _ { 2 } } + O ^ { J _ { 3 } } \Pi ^ { \prime J _ { 1 } } \bar { \Pi } ^ { \prime J _ { 2 } } \delta _ { J _ { 3 } + J _ { 2 } , J _ { 1 } } \big ) .",5cb4b5bd0e.png
"{ \theta _ { n } ^ { \alpha \Lambda } } { ^ \dagger } = \theta _ { - n } ^ { \alpha \Lambda } ,",7376be8a16.png
"{ \cal S } ^ { \mu \nu } \equiv \epsilon ^ { \mu \nu \rho \sigma } \theta _ { \rho } P _ { \sigma } = 0 \ \ ,",5caa163344.png
"\operatorname { e x p } \left( \sum _ { g = 0 } ^ { \infty } x ^ { 2 g - 2 } \mathcal { F } _ { g } \right) = e ^ { - \frac { D ( 0 , 0 , 0 ) } { 2 } \zeta ( 1 ) } \prod _ { ( \ell , n , \gamma , j ) > 0 } ( 1 - p ^ { \ell } q ^ { n } \zeta ^ { \gamma } y ^ { j } ) ^ { D ( \ell n , \gamma , j ) } \, .",2673247422.png
M _ { P } ^ { 2 } = M _ { s } ^ { 3 } \int d z e ^ { - 2 \sigma ( z ) },6552f4db6d.png
"\phi \Big [ \beta , a , b , c , d \Big ] = \phi _ { 0 } ^ { \beta } + a \, \phi _ { 0 } ^ { \beta + 1 } + b \, \phi _ { 0 } ^ { \beta + 2 } + c \, \phi _ { 0 } ^ { \beta + 3 } + d \, \phi _ { 0 } ^ { \beta + 4 } \; .",63a2608987.png
"t _ { 1 } = T ~ ~ , \hspace { 2 c m } t _ { 2 } = - \frac { S } { 2 \pi i } ,",7a672b3ac0.png
B _ { p } ( \beta ) = \operatorname { d i m } \{ \operatorname { k e r } \Delta _ { \beta } \cap \Lambda ^ { p } \} .,4c986ebb34.png
\frac { 1 } { 2 } \left( 1 + \sqrt { \frac { j \left( j + 1 \right) - \alpha ^ { 2 } } { 4 } } \right) \mp \frac { i \alpha E } { \sqrt { E ^ { 2 } - \frac { m ^ { 2 } } { 4 } } } = - n,15329206b1.png
"\hat { g } = - ( d x ^ { 0 } ) ^ { 2 } + ( d x ^ { 1 } ) ^ { 2 } + \Big ( d r ^ { 2 } + r ^ { 2 } d \Omega _ { 8 } ^ { 2 } \Big ) \; ,",36b2d3fb20.png
"( - 1 ) ^ { m \cdot | a | } [ a , b \cup c ] = [ a , b ] \cup c + ( - 1 ) ^ { ( | b | \cdot | c | + m ) } [ a , c ] \cup b .",71361ce21f.png
"\operatorname* { l i m } _ { t \rightarrow - \infty } ( f ( x ) , \phi ( x - t ) ) = L _ { 0 } ^ { - 1 } [ f ] \int _ { - \infty } ^ { \infty } \phi ( x ) d x",23d91c1744.png
I ( a ) = \kappa \int _ { 0 } ^ { 2 a } { \frac { u ^ { 3 } } { 2 } } g _ { 2 } ( u ),31c875f0d6.png
E ^ { 2 } ( R > > k ) = \frac { 2 } { k } [ j ( j + 1 ) - m ^ { 2 } + ( m + \frac { k M } { 2 } ) ^ { 2 } \frac { 1 } { R ^ { 2 } } ],5a559fe73b.png
m _ { C } ^ { 2 } = \langle g ^ { 2 } A _ { \mu } ^ { a } A _ { \mu } ^ { a } \rangle + \left( { \frac { 1 } { 2 } } \alpha + \beta \right) \langle i g ^ { 2 } \bar { C } ^ { a } C ^ { a } \rangle .,5e1d3cec87.png
"r a n k ( b ( x ; \xi ) \ q ( x ; \xi ) ) = r a n k ( q ( x ; \xi ) ) = r \ ,",53a1695e86.png
= \int d ^ { n } x \left\{ \frac { 1 } { 2 } F _ { \alpha \beta } F ^ { \alpha \beta } + \frac { 1 } { 2 } G _ { \alpha \beta } G ^ { \alpha \beta } + 2 D _ { \alpha } \phi ^ { \dagger } D ^ { \alpha } \phi + 2 ( m ^ { 2 } - \phi ^ { \dagger } \phi ) ^ { 2 } \right\},e6b89266e6.png
- \frac { T } { 8 \pi } \left( M _ { W } \left( 9 M _ { W } ^ { 2 } + \frac { 3 } { 2 } M _ { H } ^ { 2 } \right) + \frac { 3 } { 2 } M _ { H } ^ { 3 } \right) \int d ^ { 3 } x ( H _ { 0 } ^ { 2 } - 1 ) .,599063d58b.png
V = i \left[ \begin{array} { c c } { B } & { 2 \overline { { A } } } \\ { - 2 A } & { - B } \\ \end{array} \right],2fdd8e53dc.png
\sum _ { { \lambda } = 1 } ^ { 2 } { \epsilon } _ { \mu } ^ { ( { \lambda } ) } ( k ) { \epsilon } _ { \nu } ^ { ( { \lambda } ) } ( k ) = - g _ { { \mu } { \nu } } + \frac { n _ { \mu } k _ { \nu } + n _ { \nu } k _ { \mu } } { k _ { - } } - n ^ { 2 } \frac { k _ { \mu } k _ { \nu } } { k _ { - } ^ { 2 } } .,36f3afe9f3.png
\epsilon _ { \mathrm { v a c } } = \left< \frac { \beta ( g ) } { 8 g } G \cdot G \right>,326031c68d.png
\tau _ { j } = 1 - y \operatorname { e x p } ( i ( \mu _ { a } ( 2 j ) - \varepsilon ) ) .,4cf2740914.png
\alpha = \sum _ { a = 1 } ^ { J } \alpha ( a ; \infty ) .,486d8b9515.png
E _ { A D M } = \frac { 1 } { 1 6 \pi G _ { 1 0 } } \oint _ { \infty } d \Sigma ^ { m } \lbrace { } ^ { \circ } D _ { n } g _ { m p } - { } ^ { \circ } D _ { m } g _ { n p } \rbrace { } ^ { \circ } g ^ { n p },b80ef03527.png
"J ( x , y , M ) = \mathrm { t r } \left\langle x \left| \Gamma _ { 5 } \Gamma \frac { 1 } { \Theta + M } \right| y \right\rangle .",4d55385c75.png
\chi _ { h } ^ { N S } ( q ) = \sum S _ { h } ^ { h ^ { \prime } } \chi _ { h ^ { \prime } } ^ { N S } ( \tilde { q } ),438635c3bf.png
\mathrm { S p D } _ { 5 6 } \left( E ^ { { \vec { \alpha } } _ { 5 } } \right) = \left( \begin{array} { l l } { { \bf 0 } } & { B [ { { \vec { \alpha } } _ { 5 } } ] } \\ { C [ { { \vec { \alpha } } _ { 5 } } ] } & { { \bf 0 } } \\ \end{array} \right),27fa6d2160.png
"\phi _ { \epsilon } ( \beta ) = { \sqrt { s } } ( Q - i \beta P ) + \sum _ { k \neq 0 } { \frac { a _ { k } } { i \operatorname { s i n h } ( \pi k \epsilon ) } } \operatorname { e x p } ( i k \epsilon \beta ) ,",7010249b8a.png
"r = \rho \; , \; \; f = 1 - \frac { \rho _ { 0 } } { \rho } - \frac { \Lambda } { 6 } \rho ^ { 2 } \; .",1d320e1c45.png
"{ \cal U } ^ { \prime \prime } + { \frac { 2 } { r } } { \cal U } ^ { \prime } - \left( { \cal U } ^ { \prime } \right) ^ { 2 } = { \frac { 1 } { 4 } } \, \left( h _ { 1 } ^ { \prime } \right) ^ { 2 } + { \frac { 1 } { 4 } } \left( h _ { 2 } ^ { \prime } \right) ^ { 2 } ,",5a51edfa94.png
\mathbf { \nabla \cdot } { \mathbf { K } } ^ { C } = 4 \pi { \mathbf { J } } ^ { C } \qquad \mathbf { \nabla \cdot } \; ^ { * } { \mathbf { K } } ^ { C } = 0,9cd4f5f61f.png
\not \! \! D _ { V } : { \cal C } ^ { \infty } ( { \cal S } ^ { \pm } ) \otimes { \cal C } ^ { \infty } ( V ) \longrightarrow { \cal C } ^ { \infty } ( { \cal S } ^ { \mp } ) \otimes { \cal C } ^ { \infty } ( V ),746f9895f3.png
S \left( \hat { A } + \delta A \right) = S \left( \hat { A } \right),164f87aa84.png
"p _ { 1 } ^ { \mu } \, = \, m \, \frac { q _ { 2 } ^ { \mu } } { \sqrt { q _ { 2 } ^ { 2 } } } \, - \, ( p _ { 1 } b ) \, b ^ { \mu } .",28e6358ab6.png
"\int _ { - \infty } ^ { \infty } \frac { d x } { ( \gamma + x ^ { 2 } ) ( \delta + x ^ { 2 } ) } = \frac { \pi } { \sqrt { \gamma \delta } ( \sqrt { \gamma } + \sqrt { \delta } ) } = \frac { \pi } { \sqrt { \gamma \delta } } \frac { \sqrt { \delta } - \sqrt { \gamma } } { \delta - \gamma } ,",4104802d8a.png
"\delta _ { \epsilon } \Psi = \epsilon \star \Psi - \Psi \star \epsilon \, \, .",367fda4d81.png
"\left[ a , b , c \right] = a b c + b c a + c a b - c b a - a c b - b a c ,",5cb46bae1b.png
"Z _ { R } ^ { ( m , n ) } = \frac { 1 } { 4 } \sum _ { e } C _ { e } ( m , n ) \frac { \theta ^ { 4 } [ e ] } { \eta ^ { 1 2 } } \Theta _ { ( m , n ) } ( 0 | \tau ) ;",4785815348.png
"{ d s } ^ { 2 } = - V ( U ) { d t } ^ { 2 } + \frac { { d U } ^ { 2 } } { V ( U ) } + \frac { U ^ { 2 } } { R ^ { 2 } } \sum _ { i = 1 } ^ { n - 1 } { d x } _ { i } ^ { 2 } ,",337e111a56.png
"{ \cal L } _ { 0 } = - \frac { 1 } { 4 } F _ { \mu \nu } F ^ { \mu \nu } + \frac { 1 } { 2 } m ^ { 2 } A _ { \mu } A ^ { \mu } ,",258c8bd5b9.png
"F _ { \mu \nu } = 2 u _ { \mu ; \nu } ~ ~ , ~ ~ h _ { \mu } ^ { \lambda } F _ { \lambda \nu } = F _ { \mu \nu } ~ ~ ,",6e8c365fae.png
"\epsilon ( g = 0 ) = H ^ { - 1 / 8 } e ^ { - { \frac { 1 } { 2 } } \gamma _ { \overline { { \theta r } } } } e ^ { - { \frac { 1 } { 2 } } \gamma _ { \overline { { \phi \theta } } } } ( 1 - \eta \gamma _ { \overline { { 0 } } } \epsilon ^ { i j } ) \epsilon _ { 0 } ,",2eb64798cb.png
{ \cal { L } } = - \bar { \psi } ~ \gamma _ { \mu } \partial ^ { \mu } \psi - m ~ \bar { \psi } W \psi + \mathrm { m e s o n ~ ~ t e r m s },48fec62a05.png
( \dot { a } _ { \perp } ) _ { \mu } ( \dot { a } _ { \perp } ) ^ { \mu } = - ( a _ { \perp } ) _ { \mu } [ g ^ { \mu \nu } \partial _ { \tau } ^ { 2 } ] ( a _ { \perp } ) _ { \nu } + \mathrm { d i v e r g e n c e },1793232a11.png
"\Psi _ { 2 } ( \lambda _ { 1 } , \lambda _ { 2 } ) = B _ { 1 } ( \lambda _ { 1 } ) B _ { 1 } ( \lambda _ { 2 } ) \left| 0 \right\rangle - \frac { 1 } { y ( \lambda _ { 1 } - \lambda _ { 2 } ) }",1ffb93fb54.png
{ \partial _ { \lambda } } F _ { \mu \nu } + { \partial _ { \mu } } F _ { \nu \lambda } + { \partial _ { \nu } } F _ { \lambda \mu } = 0 .,5ce45827e1.png
\alpha = - { \frac { 1 } { 8 ( 3 + 8 \operatorname { l n } 2 ) \pi ^ { 2 } } } .,80781d2893.png
"R ( x , x _ { 1 } \ldots x _ { n } ) \left( \frac { \delta } { \delta J _ { - } } + \frac { \delta } { \delta J _ { + } } \right) ^ { n } ( - i ) ^ { n } \frac { \delta } { \delta J _ { + } } \langle 0 | 0 \rangle _ { \pm } \Bigg | _ { J _ { \pm } = 0 } .",2bdc2092fb.png
"\times \bigl [ \bar { u } ( \bar { p } , \sigma ) \gamma ^ { \mu } ( \not { p } + m ) \gamma ^ { \nu } u ( p , s ) \bigr ] \sum _ { \lambda } \epsilon _ { \nu } ^ { \lambda } ( k ) \epsilon _ { \rho \lambda } ( k ) f ^ { \rho } ( k , p ) \; ,",110acdb0aa.png
"\tilde { W } _ { e f f } = - \frac { \mathrm { P f } \tilde { \Phi } } { \tilde { \Lambda } _ { L } ^ { 2 \tilde { N } _ { c } + 1 } } + \frac { 1 } { 2 \mu } \Phi \tilde { \Phi } ,",203de191ab.png
- \beta F = { \frac { 1 } { 2 } } \int _ { 0 } ^ { \infty } { \frac { d s } { s } } ( 1 + 2 \sum _ { n = 1 } ^ { \infty } e ^ { - { \frac { 4 \pi ^ { 2 } s } { \beta ^ { 2 } } } n ^ { 2 } } T r K _ { 2 \omega - 1 } ( s ) ),410f1279b0.png
"{ \cal F } = Q { \cal A } + { \cal A } ^ { 2 } = 0 ,",42e788574c.png
\tilde { \psi } _ { 0 } ( z ) = z ^ { - \frac N 4 } \varphi _ { 0 } ( z ),1c7224dc40.png
"{ \cal L } _ { e f f } = - i \int \! \! { \frac { d ^ { 4 } p } { ( 2 \pi ) ^ { 4 } } } t r _ { \gamma } \, l n \, G ^ { - 1 } ( p + i \partial , x ) ,",9a658a2a4c.png
"\hat { H } \equiv \sum _ { \alpha = 1 } ^ { N + 1 } c _ { \alpha } a _ { \alpha } ^ { \dagger } a _ { \alpha } \ ,",646e070d1d.png
\xi ^ { 1 * } \left( x \right) = \xi ^ { 6 * } \left( x \right) = 0,7ef86f3893.png
4 ( 2 p ^ { 2 } - p \frac { d p } { d \phi } ) - ( T ^ { 2 } + 2 \lambda ^ { 2 } ) e ^ { 2 \xi } = 0,2ba4f3420c.png
"\{ \psi _ { i j } ( x ^ { - } ) , \psi _ { k l } ( y ^ { - } ) \} = \frac { 1 } { 2 } \delta ( x ^ { - } - y ^ { - } )",2db85ea3ee.png
"\int _ { k 5 } = \int { \frac { d ^ { 4 } k } { ( 2 \pi ) ^ { 4 } } } { \frac { 1 } { 2 \ell } } \sum _ { k ^ { 5 } } \ ,",19c4434c42.png
\Delta = - D ^ { 2 } - \frac { \mathrm { i } } 2 \sigma _ { \mu \nu } F _ { \mu \nu } .,1f0141c2a3.png
"T _ { i } = \{ \delta , \sigma ^ { 4 } = ( \sigma ^ { 1 } \sigma ^ { 2 } \sigma ^ { 3 } ) , { \vec { \sigma } } , \sigma ^ { 4 } { \vec { \sigma } } \} \ .",75dd03aa6c.png
"+ \left[ - \frac { 1 } { | \mu | \varrho } K _ { 1 } ( | \mu | \varrho ) + \frac { 1 } { ( \mu \varrho ) ^ { 2 } } - \frac { \pi } { \mu ^ { 2 } } \delta ^ { 2 } ( \vec { \varrho } ) \right] \frac { ( \vec { a } \cdot \vec { b } ) } { 2 \pi } ~ ~ ,",1f032ac533.png
"E _ { \pm n } = \pm \sqrt { m ^ { 2 } + 2 | e B | ( n + { \scriptstyle \frac { 1 } { 2 } } ) - 2 e B S _ { \pm } } ,",1dce02d4ec.png
"d s ^ { 2 } \, = \, a ^ { 2 } ( \eta ) \bigl [ ( 1 + 2 \Phi ) d \eta ^ { 2 } - ( 1 - 2 \Phi ) d x ^ { i } d x _ { i } \bigr ] \, ,",1b514e50c5.png
"m \simeq a ~ \sqrt { | e H | } ~ \mathrm { e } ^ { - b \sqrt { \frac { \pi } { \alpha } - c } } ,",5fab91c6bc.png
"\sigma ( x , u ) \sigma ( x , - u ) = \frac { \operatorname { c o s } ^ { 2 } x } { \operatorname { c o s } ( x + \lambda u ) \operatorname { c o s } ( x - \lambda u ) }",3b50918078.png
\beta _ { \mathrm { S G } } = 2 g _ { \mathrm { e f f } } .,79c32acdd9.png
"\Psi _ { \xi } ( P _ { 0 } ) = \operatorname { e x p } \left[ \frac { i \xi \kappa } { ( a + 1 ) } \left( 1 - e ^ { - ( a + 1 ) P _ { 0 } / \kappa } \right) \right] \, \psi ( P _ { 0 } ) ,",24266904e7.png
{ \frac { M ^ { \prime } } { 4 \pi \kappa \lambda } } = - \left( q ^ { a } + { \frac { \eta ^ { a } } { \lambda } } \right) \epsilon _ { a } ^ { ~ ~ b } p _ { b } ~ .,6b3ec23fe9.png
- \frac { 1 } { 8 z _ { 0 } ^ { 2 } } + V ^ { \prime } ( z _ { 0 } ) = 0 .,60e27f6f6b.png
{ \mathcal L } = - \frac { 1 } { 2 } F \wedge ^ { * } F + \frac { 1 } { 2 } | D \phi | ^ { 2 } - U ( \phi ),1c247eaaad.png
i ( 2 \pi ) ^ { 4 } \Phi ( q _ { 1 2 } P _ { 1 2 } ) = { \Delta _ { 1 } } ^ { - 1 } { \Delta _ { 2 } } ^ { - 1 } \lambda \int d ^ { 4 } { q _ { 1 2 } } ^ { \prime } \Phi ( { q _ { 1 2 } } ^ { \prime } P _ { 1 2 } ),3fdfde7724.png
"\delta _ { _ \ominus } \overline { Q } \sim \widehat Q { \frac { M w } { 4 c ^ { 2 } \mu ^ { 2 } } } \, \operatorname { l n } \big \{ { \frac { w _ { \! _ { \odot } } } { w } } \} \ .",76f96b5889.png
E _ { \mathrm { B I } } = \sqrt { ( N \tau _ { 0 } ) ^ { 2 } + ( A \tau _ { 2 } ) ^ { 2 } } = N \tau _ { 0 } + \frac { A ^ { 2 } \tau _ { 2 } ^ { 2 } } { 2 N \tau _ { 0 } } + \cdots .,8eff38b160.png
"g _ { a \bar { b } } = \partial _ { a } \, \partial _ { \bar { b } } \, K ( z , \bar { z } ) \ .",5b21e90f7d.png
P _ { 0 } [ A ] = \left\Vert e ^ { i \Gamma [ A ] } \right\Vert ^ { 2 } \; .,4e4a92826c.png
"d s ^ { 2 } = H _ { p } ( u ) ^ { - 1 / 2 } [ - d t ^ { 2 } + ( d { { \vec { x } } ^ { \parallel } } ) ^ { 2 } ] + H _ { p } ( u ) ^ { 1 / 2 } ( d { { \vec { x } } ^ { \perp } } ) ^ { 2 } \quad ,",3f0fd99b69.png
